Uniprot.ID,V_log2.i._TMT_1,V_log2.i._TMT_3,V_log2.i._TMT_5,V_log2.i._TMT_7,V_log2.i._TMT_9,D_log2.i._TMT_2,D_log2.i._TMT_4,D_log2.i._TMT_6,D_log2.i._TMT_8,D_log2.i._TMT_10
P18858,24.57088765,24.62680807,24.62943659,24.59324957,24.46834762,24.65259756,24.67231739,24.63894925,24.60774538,24.6604755
Q92747,23.22997198,23.17302204,23.17847399,23.22291567,23.28594648,23.17955223,23.13259948,23.19386829,23.14846866,23.07864922
P35580,27.55486031,27.62595753,27.61138714,27.59765645,27.491847,27.54057853,27.56507217,27.54057853,27.50343412,27.4805563
Q7Z699,19.65783513,19.47894839,19.53807923,19.59969733,19.66569185,19.4595755,19.59820756,19.55562017,19.4840007,19.39006243
P52788,27.46737362,27.34518966,27.43372277,27.4408381,27.39704298,27.42618296,27.34518966,27.33851774,27.39704298,27.29072486
O00244,23.86592557,23.94053014,23.77966146,24.04710647,24.16689168,23.53967462,23.65888629,23.96770916,23.95541988,23.67327157
P30047,21.2413533,21.10296768,21.12445242,21.08794458,21.22565821,21.01916281,21.0942472,21.06321602,21.10033592,20.95237824
P32519,21.7579107,21.7431051,21.84221113,21.84550256,21.84713899,21.76713581,21.69185737,21.77667173,21.77977893,21.70500225
Q6NUK1,20.552192,20.72390869,20.58634083,20.57885083,20.45697121,20.71386757,20.72307601,20.65143264,20.63198448,20.69119293
Q13619,23.3391843,23.47017595,23.49892054,23.43177353,23.29258514,23.50746671,23.53543493,23.456697,23.44268286,23.51769548
Q5VUM1,19.76958729,19.72041744,19.88849151,19.77363771,19.95152812,19.71158586,19.51722282,19.78065022,19.79751172,19.67325361
P21796,29.23044938,29.15045649,29.16979813,29.15045649,29.21533012,29.15045649,29.15045649,29.14055049,29.14055049,29.08353628
Q9Y6M1,20.27188749,20.36021471,20.3721978,20.35148637,20.23193619,20.39398491,20.50798379,20.36524568,20.31218699,20.54058996
Q13510,24.83595295,24.83232242,24.80237622,24.89629073,24.98630912,24.74708377,24.72906683,24.80087008,24.85420107,24.65036442
Q04917,26.40114437,26.3691802,26.42012196,26.37352439,26.3691802,26.34570468,26.36431176,26.3555569,26.3691802,26.32778539
Q9NWZ8,19.41764085,19.36891242,19.35122724,19.42912406,19.34672283,19.33076621,19.35525924,19.35122724,19.30922366,19.2850061
O15156,20.03321588,20.17640568,20.10075149,20.15950477,20.22146148,20.06989075,20.08795052,20.08465647,19.98837091,20.01461316
Q9BSJ8,25.55977664,25.64173389,25.64066499,25.65353023,25.47165612,25.70880862,25.72571904,25.65807481,25.62504693,25.69965642
Q9Y618,23.16410538,23.08223169,23.12364042,23.11832101,23.17955223,23.04622579,23.05548992,23.04342491,23.11386028,23.01446393
Q9BSV6,19.54332676,19.59168865,19.49532231,19.49532231,19.33076621,19.65783513,19.55750888,19.55750888,19.55288301,19.57366964
Q9C0B5,21.81371058,21.74201475,21.70201515,21.89557232,21.8270878,21.6681151,21.62213604,21.59600704,21.78811657,21.67655479
Q9Y6G3,20.43072175,20.41789911,20.4729915,20.50226499,20.5849545,20.2217798,20.29071507,20.48303873,20.36612592,20.400871
P60660,26.09051759,26.03017962,26.07169153,26.14027677,26.19029242,26.01678618,25.89746166,26.08356353,26.09051759,25.90541843
Q03154,26.72750582,26.63619281,26.68084789,26.70770876,26.70567648,26.6577992,26.55713058,26.64540738,26.66411464,26.62749262
Q96I24,22.47021186,22.44942172,22.45270104,22.49460784,22.45101594,22.50185613,22.52892202,22.49460784,22.46842402,22.55361719
Q93034,24.31950868,24.28563398,24.31766311,24.29040819,24.28306731,24.35933358,24.36154548,24.30674455,24.30541388,24.40520015
Q14203,24.58443197,24.65710571,24.69261582,24.67378884,24.52703463,24.74320117,24.6884034,24.69907022,24.66932854,24.71286816
Q9NR33,20.67560495,20.6255069,20.59016962,20.61353457,20.81048778,20.38492451,20.46804749,20.61280151,20.6255069,20.60541607
A4D2B0,20.98467557,20.87716641,20.78661942,20.9389033,20.89970768,20.76479266,20.77995606,20.64679936,20.80753738,20.77418279
Q9H8K7,19.83691401,19.78515273,19.84634968,19.83536999,19.85533888,19.76200303,19.7550395,19.8581177,19.77879701,19.69770299
O75964,19.96655184,20.06573233,20.00392082,20.04463408,19.97289375,19.98617848,20.22934643,20.16753947,20.09667635,20.11514424
Q8IYD1,20.16100761,19.98081851,19.93488405,19.93273781,20.00078559,20.09211959,20.09667635,19.9615307,20.14266531,20.20485006
Q07283,19.12284839,18.98454403,19.13256487,19.22568933,19.21894752,19.03929014,18.99847961,19.06424455,19.10601605,18.93500013
P36639,22.92889156,22.85632766,22.78628768,22.91376493,22.9074984,22.79697224,22.83107661,22.86474087,22.81853452,22.80035125
P47736,22.15701679,22.14623914,22.15514001,22.12629754,22.1147676,22.20930147,22.20382817,22.16756941,22.15939203,22.17848612
Q96RL1,23.25887575,23.21043782,23.2389151,23.24074848,23.26711351,23.21455369,23.15331218,23.19007245,23.21689066,23.14286678
O94925,21.78677128,21.9269176,21.9123969,21.84019165,21.70500225,21.99749644,22.02590975,21.94064995,21.85020769,21.96364588
Q03426,24.15598135,24.15174471,24.15598135,24.21630378,24.25840829,24.17327202,24.09084487,24.14163318,24.0867468,24.12730664
O43933,18.33321131,18.42453885,18.24101605,18.43790428,18.47430692,18.28731523,18.03598812,18.29110857,18.2430636,18.35851855
O43488,20.75284262,20.99882893,20.98519772,20.98188916,21.0991749,20.99790378,21.05713082,21.24025579,21.0334311,21.05600609
P00374,22.15874316,22.34037313,22.29447369,22.23480612,22.12186446,22.36454827,22.37779005,22.32075172,22.24404412,22.36454827
P42025,23.39829972,23.33087931,23.47981256,23.52360347,23.34110371,23.36196895,23.35745264,23.40708579,23.30737736,23.23981744
Q9Y4B6,21.26852958,21.36309629,21.37094659,21.30618728,21.15854121,21.4094682,21.45513078,21.37506107,21.33520247,21.38137165
O00410,25.81965539,25.84371362,25.84997798,25.83254471,25.76278338,25.79558326,25.8007704,25.79558326,25.75182388,25.75182388
Q9NRG1,23.53319867,23.46455854,23.43074263,23.47831186,23.54692099,23.41377826,23.4000304,23.46966968,23.36407385,23.30397888
O95551,22.52799135,22.52480449,22.5486649,22.54784675,22.54561649,22.50310342,22.53432134,22.48567291,22.41884917,22.5199549
Q9BVA0,20.2019838,20.17013197,20.14148538,20.13636752,20.20247351,20.14579753,20.11514424,20.13525968,20.11930255,20.10858767
Q9H9J2,21.42671117,21.41828842,21.27350059,21.3089937,21.10494676,21.46225809,21.48178318,21.39843466,21.36437633,21.45513078
O43865,22.20930147,22.33087263,22.25414772,22.26292021,22.16330531,22.30926596,22.39910558,22.32406352,22.26439658,22.31535206
Q9Y237,25.75182388,25.59506654,25.63417017,25.64830501,25.8067777,25.59183811,25.50029451,25.61537195,25.60481733,25.51214822
Q86YS6,19.73909134,19.62421611,19.63249253,19.76200303,19.74101427,19.69937389,19.62421611,19.60441542,19.65446961,19.56501796
Q96R06,23.98348036,24.02558693,24.01708563,24.03226012,23.97828828,23.98820602,23.94665721,23.98042454,23.92621541,23.94174365
Q9NQ75,18.48112421,18.42084723,18.37920351,18.51667933,18.57360028,18.38184082,18.30122172,18.40186034,18.46725156,18.3963069
O95562,21.09136329,20.89878924,20.96226269,20.96461841,21.09579282,20.96095412,20.90110191,20.90450064,20.94551908,20.84014679
Q9NZN4,20.11257513,20.09211959,19.92604886,20.0773864,19.99631969,20.11257513,20.04910478,20.10373478,20.18340442,20.15177146
Q8IY95,18.9002061,18.99112974,18.99847961,19.01832221,19.05691761,18.74295397,18.96617436,18.99112974,18.96252056,18.63385198
Q9BUJ2,24.95053627,24.95549909,24.94672741,24.94492617,24.94064342,25.02870945,25.00444558,24.96806809,24.96806809,24.99524913
Q9H0W8,19.25685261,19.20690339,19.17961548,19.25685261,19.29206121,19.11969203,19.13256487,19.23775858,19.22148421,19.05691761
O00625,23.00197226,22.98780433,22.95101731,23.02694829,23.01257974,22.98780433,22.95101731,22.94291141,22.96376857,22.89358048
P30837,20.68749373,20.77919129,20.60146345,20.65958812,20.42490983,20.79152619,20.847122,20.7201737,20.72889308,20.76870549
Q9BRT8,20.24154352,20.25435257,20.32584385,20.28485144,20.20812257,20.28137983,20.19707821,20.21700547,20.10241701,20.1800695
Q9Y6D9,23.20159616,23.26801096,23.29103915,23.27211999,23.1835186,23.31257446,23.31696808,23.26915554,23.29385388,23.30829347
Q9NVG8,22.09957296,22.03604132,21.94606872,22.01231966,21.99693495,21.9661642,21.99930572,21.97928741,21.94438724,21.86711533
